Date,Reg Gas,Diesel,Bus,CommuterRail,DemandResponse,FerryBoat,HeavyRail,LightRail,Monorail_AutomatedGuideway,Trolley,VanPool,Total
1/1/2002,1.89,1.97,420554810,32992144,5883076,4318959,247189536,24709005,495412,9763712,915963,746822617
2/1/2002,1.9,1.97,405198267,30168968,5582057,4323800,233029720,24227582,510351,9198390,896084,713135219
3/1/2002,2.13,2.09,430453009,33238718,5967128,4596096,258612523,26195319,539362,10313584,881603,770797342
4/1/2002,2.37,2.22,428648142,33453430,6038447,4761172,262204343,26541384,604125,9805281,901430,772957754
5/1/2002,2.35,2.21,430890659,34575957,6120366,5001069,267432142,27428367,623465,10284608,897965,783254598
6/1/2002,2.34,2.17,382807909,32444551,5642861,5091126,251718581,26320328,607855,9639683,827469,715100363
7/1/2002,2.36,2.19,397158404,35327289,5739076,5698655,254370619,27292671,742874,9767674,891790,736989052
8/1/2002,2.35,2.24,401446641,35430710,5830205,5825780,248719733,26757180,793051,10060585,889364,735753249
9/1/2002,2.35,2.37,428006125,33515024,5732881,4876798,248872795,26667904,565271,9538216,814804,758589818
10/1/2002,2.42,2.45,438057423,36265803,6324583,4746914,271907694,27824195,598882,10147994,939938,796813426
11/1/2002,2.37,2.38,405295570,33782235,5544602,4466762,245899863,26571428,758646,9741175,875389,732935670
12/1/2002,2.32,2.39,388686211,33777504,5310259,4453255,242664924,25569795,753129,9588617,843783,711647477
1/1/2003,2.42,2.47,407684875,34658954,6105008,4451571,240434404,26440295,684856,9790284,1010613,731260860
2/1/2003,2.67,2.74,394193756,31308175,5705229,4228856,220335647,24044122,644709,9126980,971176,690558650
3/1/2003,2.8,2.82,439862210,34928854,6386417,4607508,254836742,27469873,641242,10416957,1061626,780211429
4/1/2003,2.63,2.54,420324464,35184987,6395599,4727634,251243520,27351846,715337,9995569,1084261,757023217
5/1/2003,2.49,2.41,420243522,34589871,6382394,5001098,251416755,27715090,756830,10335516,1015905,757456981
6/1/2003,2.48,2.36,383545334,34356082,6186687,5162993,246577369,26520105,784405,9855996,1047277,714036248
7/1/2003,2.5,2.37,398017453,35465340,6179770,5864821,250148254,27483059,960636,9392315,1087560,734599208
8/1/2003,2.67,2.44,400020481,34394659,6077119,5870829,226949240,27879134,961152,9516465,1059321,712728400
9/1/2003,2.75,2.4,405972881,34961414,6227047,5043173,254236217,27997822,737018,9079352,1057662,745312586
10/1/2003,2.57,2.43,435151620,36140636,6656116,4908177,274109417,27091871,717014,9594101,1143052,795512004
11/1/2003,2.48,2.43,369285553,32932087,5720193,4334131,243541214,24626806,774930,9002391,972952,691190257
12/1/2003,2.42,2.44,391255565,34222963,5810611,4285535,254832706,26787840,781623,9156022,1022530,728155395
1/1/2004,2.56,2.53,400069014,33671211,6115151,3832480,241743431,28238266,887499,9268377,1071199,724896628
2/1/2004,2.68,2.57,401627005,31894372,6179045,3881752,243545104,26206814,799862,8531041,1067532,723732527
3/1/2004,2.82,2.64,453624995,35981811,7086621,4699853,280057290,30499934,906967,9510958,1296885,823665314
4/1/2004,2.91,2.74,424243642,34698400,6668201,4777670,265560953,30214788,879215,9308251,1176923,777528043
5/1/2004,3.2,2.82,420998201,34095415,6461193,4989750,267072929,30472626,927321,9381094,1053973,775452502
6/1/2004,3.17,2.75,402618187,35498700,6615547,5268119,273996030,30827282,794486,9164652,1192321,765975324
7/1/2004,3.07,2.79,394828735,34377427,6348658,5696177,261035944,31581318,794037,9033215,1131314,744826825
8/1/2004,3.01,2.94,408179558,35846884,6559820,5708786,257201228,32678571,841101,9847656,1207221,758070825
9/1/2004,2.99,3.07,430344159,34518368,6516672,4772995,258223546,32032324,945013,8928927,1160465,777442469
10/1/2004,3.18,3.4,447374312,35070193,6733221,4778419,272144816,33708680,901831,9605026,1142778,811459276
11/1/2004,3.14,3.4,421024981,35477085,6403445,4370884,261660926,31338200,938050,7916271,1073430,770203272
12/1/2004,2.92,3.18,421067065,35418820,6370957,4274968,262572703,30978642,1019395,8554974,1072040,771329564
1/1/2005,2.9,3.1,407302950,34107390,6574065,3812066,248269436,29568720,1149843,8751601,1225744,740761815
2/1/2005,3.01,3.2,395848780,32719917,6512145,3801374,243714705,28940331,955223,7295422,1131776,720919673
3/1/2005,3.27,3.48,464367962,36637230,7400493,4608678,280188886,33054484,1036709,9525711,1301401,838121554
4/1/2005,3.52,3.59,434970583,35312455,7150155,4572512,267595470,32712459,962076,8839163,1184706,793299579
5/1/2005,3.39,3.45,447482977,36046717,7037986,4562923,274459615,32297912,1017756,8311670,1162924,812380480
6/1/2005,3.38,3.59,416704381,36682576,7035425,4943826,277154289,33196049,1046245,8919225,1229821,786911837
7/1/2005,3.57,3.7,415166616,35473953,6707414,5610774,257743121,34149139,1173673,8892107,1203648,766120445
8/1/2005,3.85,3.87,432268413,37597917,7291207,5640166,268060424,34781688,1149620,9861643,1364769,798015847
9/1/2005,4.44,4.31,454501442,36331476,7060232,4824850,267968245,34589943,972980,8963908,1279191,816492267
10/1/2005,4.14,4.72,466012822,36707129,6892899,4435033,280691702,35223427,770409,9606318,1396983,841736722
11/1/2005,3.46,3.94,430319937,36773468,6657700,3975194,276211037,31995384,796793,8042907,1371446,796143866
12/1/2005,3.35,3.74,403255775,36059214,6458897,3971719,248826029,31702037,909307,8636883,1295801,741115662
1/1/2006,3.53,3.76,430268992,35249233,7114674,3795310,263394882,31895117,1729769,8030918,1595529,783074424
2/1/2006,3.47,3.77,404410320,32982486,6850955,3553204,244853237,31413559,1601203,7812297,1444790,734922051
3/1/2006,3.69,3.89,474500544,37141631,7861131,4170032,287772838,35370827,1633750,9057775,1704005,859212533
4/1/2006,4.15,4.13,417015364,34894194,7096065,4279531,264511837,33797300,1580202,8687820,1442752,773305065
5/1/2006,4.39,4.37,447796788,37588539,7666350,4785847,290162377,36027007,1519484,9723873,1727915,836998180
6/1/2006,4.34,4.36,439289000,37488588,7439548,4892939,290298180,34089655,1493657,9506706,1725115,826223388
7/1/2006,4.46,4.39,408404189,36412413,6888166,5454497,267404293,34240112,1477486,8529273,1561248,770371677
8/1/2006,4.4,4.54,436160972,38640817,7614801,5498031,281853613,36525835,1493369,9379088,1785174,818951700
9/1/2006,3.83,4.17,450952732,36132737,7130789,4634288,285160907,35486602,1495830,8479214,1663662,831136761
10/1/2006,3.38,3.79,475846195,37995141,7551083,4387472,288779988,36397845,1503495,9169267,1815554,863446040
11/1/2006,3.35,3.83,430043452,37571285,7100629,3955418,287748222,34742550,1484965,7674463,1624815,811945799
12/1/2006,3.46,3.9,417981736,35782830,6686141,4104147,269022834,34480892,1442066,7981824,1554782,779037252
1/1/2007,3.34,3.71,425680954,37025897,7501142,3692898,276709094,33310328,1687711,7638185,1809753,795055962
2/1/2007,3.39,3.7,403144515,33912517,7000341,3642225,257664796,31374936,1394197,7280982,1657486,747071995
3/1/2007,3.79,3.95,462406413,37921693,8113185,4085131,301112714,37048458,1775910,8478804,1853237,862795545
4/1/2007,4.2,4.18,429994855,37199563,7588005,4243687,285509845,35584842,1679173,8264640,1745821,811810431
5/1/2007,4.62,4.11,456305870,39438599,8103667,4704447,310166405,38531488,1668522,9049177,1949931,869918106
6/1/2007,4.48,4.11,426518183,38609016,7616277,4852215,288036924,37044708,1816893,8815753,1892546,815202515
