Date,Reg Gas,Diesel,Bus,CommuterRail,DemandResponse,HybridRail,LightRail,VanPool,Total
1/1/2002,1.89,1.97,5096247,107593,92508,0,1852553,7700,7156601
2/1/2002,1.9,1.97,4791292,98803,92199,0,1954647,7320,6944261
3/1/2002,2.13,2.09,5057718,107171,98236,0,2005531,8148,7276804
4/1/2002,2.37,2.22,5098134,110397,102016,0,2061503,8844,7380894
5/1/2002,2.35,2.21,5336750,110746,104803,0,2117544,8976,7678819
6/1/2002,2.34,2.17,4851606,102949,94605,0,2232586,8240,7289986
7/1/2002,2.36,2.19,5119198,106412,66466,0,2113014,9328,7414418
8/1/2002,2.35,2.24,4989492,118765,66217,0,2192848,9460,7376782
9/1/2002,2.35,2.37,5029427,106054,65532,0,2152140,9000,7362153
10/1/2002,2.42,2.45,5358861,119150,71614,0,2148656,10580,7708861
11/1/2002,2.37,2.38,4692276,105893,60881,0,1930272,8316,6797638
12/1/2002,2.32,2.39,4502967,87211,57516,0,2080932,10080,6738706
1/1/2003,2.42,2.47,5030050,133020,67610,0,2504304,10868,7745852
2/1/2003,2.67,2.74,4618511,102448,64247,0,1750514,10280,6546000
3/1/2003,2.8,2.82,5300349,111962,69566,0,2056855,11088,7549820
4/1/2003,2.63,2.54,5079055,117759,69614,0,1986639,11836,7264903
5/1/2003,2.49,2.41,5247489,109124,67544,0,2260146,12364,7696667
6/1/2003,2.48,2.36,4949794,111752,68022,0,2006898,12096,7148562
7/1/2003,2.5,2.37,4994294,123259,70237,0,2190727,12892,7391409
8/1/2003,2.67,2.44,4821875,126225,66469,0,2122004,12474,7149047
9/1/2003,2.75,2.4,5236777,119343,71513,0,2343662,12684,7783979
10/1/2003,2.57,2.43,5118614,112514,68819,0,2187992,14030,7501969
11/1/2003,2.48,2.43,4621258,96813,60561,0,1907118,10980,6696730
12/1/2003,2.42,2.44,4595851,101687,61208,0,2062314,13596,6834656
1/1/2004,2.56,2.53,4719872,112863,64874,0,1884363,13062,6795034
2/1/2004,2.68,2.57,4533952,115518,62720,0,1853017,12008,6577215
3/1/2004,2.82,2.64,5258517,136912,75386,0,2402593,14582,7887990
4/1/2004,2.91,2.74,4906144,130612,69708,0,2708507,13772,7828743
5/1/2004,3.2,2.82,4987805,119052,66753,0,2398423,12880,7584913
6/1/2004,3.17,2.75,4781176,134021,69354,0,2477519,14872,7476942
7/1/2004,3.07,2.79,5100041,141023,76801,0,2702758,15444,8036067
8/1/2004,3.01,2.94,5055792,143424,78001,0,2731675,15840,8024732
9/1/2004,2.99,3.07,5387620,125778,77435,0,2541149,15246,8147228
10/1/2004,3.18,3.4,5229080,115128,77066,0,2595328,15246,8031848
11/1/2004,3.14,3.4,5012867,110947,73666,0,2175765,14680,7387925
12/1/2004,2.92,3.18,4782349,89082,67462,0,2301344,18676,7258913
1/1/2005,2.9,3.1,4461309,95609,58647,0,2390722,16400,7022687
