Unnamed: 0,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
25040,47900,2022-01-01,40,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25041,47900,2022-01-02,24,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25042,47900,2022-01-03,30,Good,Ozone,6,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25043,47900,2022-01-04,46,Good,NO2,6,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25044,47900,2022-01-05,44,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25045,47900,2022-01-06,49,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25046,47900,2022-01-07,38,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25047,47900,2022-01-08,38,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25048,47900,2022-01-09,43,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25049,47900,2022-01-10,35,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25050,47900,2022-01-11,36,Good,NO2,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25051,47900,2022-01-12,38,Good,NO2,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25052,47900,2022-01-13,66,Moderate,PM2.5,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25053,47900,2022-01-14,60,Moderate,PM2.5,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25054,47900,2022-01-15,34,Good,Ozone,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25055,47900,2022-01-16,41,Good,PM2.5,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25056,47900,2022-01-17,34,Good,Ozone,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
