Unnamed: 0,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
10487,25900,2022-01-01,9,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10488,25900,2022-01-02,12,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10489,25900,2022-01-03,8,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10490,25900,2022-01-04,14,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10491,25900,2022-01-05,15,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10492,25900,2022-01-06,13,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10493,25900,2022-01-07,18,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10494,25900,2022-01-08,38,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10495,25900,2022-01-09,38,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10496,25900,2022-01-10,17,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10497,25900,2022-01-11,35,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10498,25900,2022-01-12,11,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10499,25900,2022-01-13,9,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
10500,25900,2022-01-14,21,Good,PM2.5,1,Hilo,HI,Hawaii,19.6883,-155.0863,45248.0,325.0,Pacific/Honolulu
