Unnamed: 0,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
9788,25020,2022-01-05,5,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9789,25020,2022-01-11,6,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9790,25020,2022-01-17,9,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9791,25020,2022-01-23,9,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9792,25020,2022-01-29,5,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9793,25020,2022-02-04,4,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9794,25020,2022-02-10,11,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9795,25020,2022-02-16,42,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9796,25020,2022-02-22,10,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9797,25020,2022-03-06,12,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9798,25020,2022-03-12,13,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9799,25020,2022-03-18,17,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
9800,25020,2022-03-30,14,Good,PM10,1,Guayama,PR,Puerto Rico,17.9743,-66.1104,65343.0,2100.0,America/Puerto_Rico
14247,32420,2022-01-01,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14248,32420,2022-01-02,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14249,32420,2022-01-03,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14250,32420,2022-01-04,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14251,32420,2022-01-05,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14252,32420,2022-01-06,28,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14253,32420,2022-01-07,24,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14254,32420,2022-01-08,20,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14255,32420,2022-01-09,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14256,32420,2022-01-10,25,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14257,32420,2022-01-11,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14258,32420,2022-01-12,23,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14259,32420,2022-01-13,21,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14260,32420,2022-01-14,19,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14261,32420,2022-01-15,29,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14262,32420,2022-01-16,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14263,32420,2022-01-17,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14264,32420,2022-01-18,26,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14265,32420,2022-01-19,22,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14266,32420,2022-01-20,25,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14267,32420,2022-01-21,27,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14268,32420,2022-01-22,20,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14269,32420,2022-01-23,30,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14270,32420,2022-01-24,42,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14271,32420,2022-01-25,48,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14272,32420,2022-01-26,34,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14273,32420,2022-01-27,33,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14274,32420,2022-01-28,31,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14275,32420,2022-01-29,29,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14276,32420,2022-01-30,29,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14277,32420,2022-01-31,27,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14278,32420,2022-02-01,27,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14279,32420,2022-02-02,34,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14280,32420,2022-02-03,31,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14281,32420,2022-02-04,28,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14282,32420,2022-02-05,29,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14283,32420,2022-02-06,26,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14284,32420,2022-02-07,30,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14285,32420,2022-02-08,28,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14286,32420,2022-02-09,33,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14287,32420,2022-02-10,37,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14288,32420,2022-02-11,33,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14289,32420,2022-02-12,35,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14290,32420,2022-02-13,32,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14291,32420,2022-02-14,34,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14292,32420,2022-02-15,32,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14293,32420,2022-02-16,39,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14294,32420,2022-02-17,49,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14295,32420,2022-02-18,28,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14296,32420,2022-02-19,31,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14297,32420,2022-02-20,32,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14298,32420,2022-02-21,32,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14299,32420,2022-02-22,35,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14300,32420,2022-02-23,34,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14301,32420,2022-02-24,39,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14302,32420,2022-02-25,27,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14303,32420,2022-02-26,21,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14304,32420,2022-02-27,21,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14305,32420,2022-02-28,21,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14306,32420,2022-03-01,30,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14307,32420,2022-03-02,38,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14308,32420,2022-03-03,24,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14309,32420,2022-03-04,25,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14310,32420,2022-03-05,22,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14311,32420,2022-03-06,29,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14312,32420,2022-03-07,34,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14313,32420,2022-03-08,33,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14314,32420,2022-03-09,26,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14315,32420,2022-03-10,24,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14316,32420,2022-03-11,38,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14317,32420,2022-03-12,32,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14318,32420,2022-03-13,37,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14319,32420,2022-03-14,34,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14320,32420,2022-03-15,37,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14321,32420,2022-03-16,28,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14322,32420,2022-03-17,35,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14323,32420,2022-03-18,33,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14324,32420,2022-03-19,36,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14325,32420,2022-03-20,37,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14326,32420,2022-03-21,33,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14327,32420,2022-03-22,33,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14328,32420,2022-03-23,28,Good,Ozone,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14329,32420,2022-03-24,32,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14330,32420,2022-03-25,29,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14331,32420,2022-03-26,39,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14332,32420,2022-03-27,36,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14333,32420,2022-03-28,40,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14334,32420,2022-03-29,41,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14335,32420,2022-03-30,21,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
14336,32420,2022-03-31,17,Good,PM2.5,1,Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426.0,1101.0,America/Puerto_Rico
17955,38660,2022-01-05,32,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17956,38660,2022-01-11,16,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17957,38660,2022-01-13,35,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17958,38660,2022-01-14,31,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17959,38660,2022-01-15,17,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17960,38660,2022-01-16,10,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17961,38660,2022-01-17,14,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17962,38660,2022-01-18,21,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17963,38660,2022-01-19,26,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17964,38660,2022-01-20,17,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17965,38660,2022-01-21,16,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17966,38660,2022-01-22,19,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17967,38660,2022-01-23,14,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17968,38660,2022-01-24,19,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17969,38660,2022-01-25,20,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17970,38660,2022-01-26,21,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17971,38660,2022-01-27,45,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17972,38660,2022-01-28,51,Moderate,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17973,38660,2022-01-29,44,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17974,38660,2022-01-30,20,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17975,38660,2022-01-31,22,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17976,38660,2022-02-01,33,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17977,38660,2022-02-02,31,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17978,38660,2022-02-03,32,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17979,38660,2022-02-04,31,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
17980,38660,2022-02-05,20,Good,PM10,1,Ponce,PR,Puerto Rico,18.0127,-66.6212,118641.0,1497.0,America/Puerto_Rico
