Unnamed: 0,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
18603,39300,2022-01-01,31,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18604,39300,2022-01-02,40,Good,PM2.5,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18605,39300,2022-01-03,33,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18606,39300,2022-01-04,31,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18607,39300,2022-01-05,40,Good,PM2.5,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18608,39300,2022-01-06,45,Good,PM2.5,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18609,39300,2022-01-07,33,Good,PM2.5,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18610,39300,2022-01-08,48,Good,PM2.5,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18611,39300,2022-01-09,46,Good,PM2.5,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18612,39300,2022-01-10,33,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18613,39300,2022-01-11,41,Good,PM2.5,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18614,39300,2022-01-12,40,Good,PM2.5,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18615,39300,2022-01-13,55,Moderate,PM2.5,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18616,39300,2022-01-14,59,Moderate,PM2.5,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18617,39300,2022-01-15,33,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18618,39300,2022-01-16,37,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18619,39300,2022-01-17,38,Good,Ozone,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18620,39300,2022-01-18,36,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18621,39300,2022-01-19,36,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18622,39300,2022-01-20,59,Moderate,PM2.5,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18623,39300,2022-01-21,33,Good,Ozone,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18624,39300,2022-01-22,40,Good,PM2.5,6,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
18625,39300,2022-01-23,56,Moderate,PM2.5,7,Providence,RI,Rhode Island,41.823,-71.4187,1204385.0,3764.0,America/New_York
