Unnamed: 0,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
47728,15540,2021-01-01,34,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47729,15540,2021-01-02,33,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47730,15540,2021-01-03,33,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47731,15540,2021-01-04,45,Good,PM2.5,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47732,15540,2021-01-05,52,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47733,15540,2021-01-06,32,Good,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47734,15540,2021-01-07,18,Good,PM2.5,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47735,15540,2021-01-08,32,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47736,15540,2021-01-09,37,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47737,15540,2021-01-10,33,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47738,15540,2021-01-11,49,Good,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47739,15540,2021-01-12,58,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47740,15540,2021-01-13,58,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47741,15540,2021-01-14,81,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47742,15540,2021-01-15,76,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47743,15540,2021-01-16,35,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47744,15540,2021-01-17,28,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47745,15540,2021-01-18,33,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47746,15540,2021-01-19,33,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47747,15540,2021-01-20,33,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47748,15540,2021-01-21,33,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47749,15540,2021-01-22,30,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47750,15540,2021-01-23,34,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47751,15540,2021-01-24,38,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47752,15540,2021-01-25,39,Good,PM2.5,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47753,15540,2021-01-26,45,Good,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47754,15540,2021-01-27,36,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47755,15540,2021-01-28,34,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47756,15540,2021-01-29,33,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47757,15540,2021-01-30,35,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47758,15540,2021-01-31,40,Good,PM2.5,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47759,15540,2021-02-01,64,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47760,15540,2021-02-02,38,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47761,15540,2021-02-03,41,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47762,15540,2021-02-04,43,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47763,15540,2021-02-05,44,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47764,15540,2021-02-06,38,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47765,15540,2021-02-07,42,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47766,15540,2021-02-08,37,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47767,15540,2021-02-09,38,Good,PM2.5,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47768,15540,2021-02-10,41,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47769,15540,2021-02-11,41,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47770,15540,2021-02-12,37,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47771,15540,2021-02-13,34,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47772,15540,2021-02-14,51,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47773,15540,2021-02-15,52,Moderate,PM2.5,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47774,15540,2021-02-16,60,Moderate,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47775,15540,2021-02-17,37,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47776,15540,2021-02-18,39,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47777,15540,2021-02-19,40,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47778,15540,2021-02-20,41,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47779,15540,2021-02-21,42,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47780,15540,2021-02-22,43,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47781,15540,2021-02-23,49,Good,PM2.5,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47782,15540,2021-02-24,46,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47783,15540,2021-02-25,42,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47784,15540,2021-02-26,43,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47785,15540,2021-02-27,43,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47786,15540,2021-02-28,43,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47787,15540,2021-03-01,38,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47788,15540,2021-03-02,41,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47789,15540,2021-03-03,40,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47790,15540,2021-03-04,39,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47791,15540,2021-03-05,38,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47792,15540,2021-03-06,37,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47793,15540,2021-03-07,39,Good,Ozone,2,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
47794,15540,2021-03-08,46,Good,Ozone,3,Burlington,VT,Vermont,44.4876,-73.2316,115682.0,1596.0,America/New_York
