Diesel Fuel Retail Prices
https://www.eia.gov/outlooks/steo/realprices/
13:25:51 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Real Values,Nominal Values
Dec 2024,3.87,3.99
Nov 2024,3.83,3.95
Oct 2024,3.68,3.78
Sep 2024,3.68,3.78
Aug 2024,3.64,3.73
Jul 2024,3.61,3.69
Jun 2024,3.63,3.71
May 2024,3.7,3.78
Apr 2024,3.8,3.87
Mar 2024,3.85,3.92
Feb 2024,3.79,3.85
Jan 2024,3.83,3.88
Dec 2023,3.88,3.92
Nov 2023,3.91,3.94
Oct 2023,3.79,3.81
Sep 2023,3.61,3.63
Aug 2023,3.57,3.58
Jul 2023,3.73,3.73
Jun 2023,3.71,3.71
May 2023,3.92,3.92
Apr 2023,4.11,4.1
Mar 2023,4.24,4.21
Feb 2023,4.44,4.41
Jan 2023,4.62,4.58
Dec 2022,4.79,4.71
Nov 2022,5.34,5.26
Oct 2022,5.31,5.21
Sep 2022,5.11,4.99
Aug 2022,5.16,5.01
Jul 2022,5.65,5.49
Jun 2022,5.93,5.75
May 2022,5.81,5.57
Apr 2022,5.39,5.12
Mar 2022,5.39,5.1
Feb 2022,4.3,4.03
Jan 2022,4,3.72
Dec 2021,3.94,3.64
Nov 2021,4.06,3.73
Oct 2021,3.97,3.61
Sep 2021,3.75,3.38
Aug 2021,3.73,3.35
Jul 2021,3.73,3.34
Jun 2021,3.69,3.29
May 2021,3.64,3.22
Apr 2021,3.56,3.13
Mar 2021,3.61,3.15
Feb 2021,3.28,2.85
Jan 2021,3.1,2.68
Dec 2020,3,2.58
Nov 2020,2.83,2.43
Oct 2020,2.79,2.39
Sep 2020,2.82,2.41
Aug 2020,2.84,2.43
Jul 2020,2.86,2.43
Jun 2020,2.85,2.41
May 2020,2.84,2.39
Apr 2020,2.96,2.49
Mar 2020,3.21,2.73
Feb 2020,3.41,2.91
Jan 2020,3.57,3.05
Dec 2019,3.59,3.06
Nov 2019,3.62,3.07
Oct 2019,3.6,3.05
Sep 2019,3.57,3.02
Aug 2019,3.56,3.01
Jul 2019,3.62,3.05
Jun 2019,3.68,3.09
May 2019,3.76,3.16
Apr 2019,3.71,3.12
Mar 2019,3.68,3.08
Feb 2019,3.59,3
Jan 2019,3.58,2.98
Dec 2018,3.75,3.12
Nov 2018,3.97,3.3
Oct 2018,4.04,3.37
Sep 2018,3.93,3.26
Aug 2018,3.88,3.22
Jul 2018,3.91,3.23
Jun 2018,3.94,3.25
May 2018,3.93,3.24
Apr 2018,3.76,3.1
Mar 2018,3.64,2.99
Feb 2018,3.71,3.05
Jan 2018,3.68,3.02
Dec 2017,3.57,2.91
Nov 2017,3.57,2.91
Oct 2017,3.44,2.79
Sep 2017,3.43,2.78
Aug 2017,3.21,2.6
Jul 2017,3.1,2.5
Jun 2017,3.12,2.51
May 2017,3.19,2.56
Apr 2017,3.21,2.58
Mar 2017,3.18,2.55
Feb 2017,3.2,2.57
Jan 2017,3.22,2.58
Dec 2016,3.14,2.51
Nov 2016,3.06,2.44
Oct 2016,3.08,2.45
Sep 2016,3.01,2.39
Aug 2016,2.97,2.35
Jul 2016,3.04,2.4
Jun 2016,3.06,2.42
May 2016,2.93,2.31
Apr 2016,2.73,2.15
Mar 2016,2.67,2.09
Feb 2016,2.56,2
Jan 2016,2.74,2.14
Dec 2015,2.95,2.31
Nov 2015,3.15,2.47
Oct 2015,3.22,2.52
Sep 2015,3.2,2.51
Aug 2015,3.31,2.6
Jul 2015,3.56,2.79
Jun 2015,3.67,2.87
May 2015,3.7,2.89
Apr 2015,3.58,2.78
Mar 2015,3.73,2.9
Feb 2015,3.69,2.86
Jan 2015,3.88,3
Dec 2014,4.38,3.41
Nov 2014,4.67,3.65
Oct 2014,4.71,3.68
Sep 2014,4.85,3.79
Aug 2014,4.91,3.84
Jul 2014,4.97,3.88
Jun 2014,5,3.91
May 2014,5.05,3.94
Apr 2014,5.09,3.96
Mar 2014,5.15,4
Feb 2014,5.14,3.98
Jan 2014,5.03,3.89
Dec 2013,5.02,3.88
Nov 2013,4.98,3.84
Oct 2013,5.05,3.88
Sep 2013,5.15,3.96
Aug 2013,5.08,3.9
Jul 2013,5.04,3.87
Jun 2013,5.03,3.85
May 2013,5.07,3.87
Apr 2013,5.15,3.93
Mar 2013,5.32,4.07
Feb 2013,5.36,4.11
Jan 2013,5.12,3.91
Dec 2012,5.2,3.96
Nov 2012,5.25,4
Oct 2012,5.37,4.09
Sep 2012,5.42,4.12
Aug 2012,5.26,3.98
Jul 2012,4.94,3.72
Jun 2012,4.99,3.76
May 2012,5.28,3.98
Apr 2012,5.45,4.12
Mar 2012,5.48,4.13
Feb 2012,5.26,3.95
Jan 2012,5.11,3.83
Dec 2011,5.16,3.86
Nov 2011,5.3,3.96
Oct 2011,5.09,3.8
Sep 2011,5.14,3.84
Aug 2011,5.18,3.86
Jul 2011,5.26,3.91
Jun 2011,5.31,3.93
May 2011,5.47,4.05
Apr 2011,5.51,4.06
Mar 2011,5.32,3.9
Feb 2011,4.91,3.58
Jan 2011,4.65,3.39
Dec 2010,4.47,3.24
Nov 2010,4.34,3.14
Oct 2010,4.23,3.05
Sep 2010,4.1,2.95
Aug 2010,4.12,2.96
Jul 2010,4.06,2.91
Jun 2010,4.12,2.95
May 2010,4.29,3.07
Apr 2010,4.27,3.06
Mar 2010,4.07,2.91
Feb 2010,3.89,2.78
Jan 2010,3.97,2.84
Dec 2009,3.83,2.74
Nov 2009,3.9,2.79
Oct 2009,3.75,2.67
Sep 2009,3.69,2.63
Aug 2009,3.71,2.63
Jul 2009,3.59,2.54
Jun 2009,3.58,2.53
May 2009,3.17,2.23
Apr 2009,3.17,2.22
Mar 2009,2.99,2.09
Feb 2009,3.13,2.2
Jan 2009,3.28,2.29
Dec 2008,3.52,2.45
Nov 2008,4.1,2.88
Oct 2008,5,3.58
Sep 2008,5.58,4.02
Aug 2008,5.97,4.3
Jul 2008,6.52,4.7
Jun 2008,6.53,4.68
May 2008,6.24,4.43
Apr 2008,5.8,4.08
Mar 2008,5.52,3.88
Feb 2008,4.82,3.38
Jan 2008,4.73,3.31
Dec 2007,4.8,3.34
Nov 2007,4.89,3.4
Oct 2007,4.46,3.07
Sep 2007,4.3,2.95
Aug 2007,4.2,2.87
Jul 2007,4.2,2.87
Jun 2007,4.11,2.81
May 2007,4.11,2.8
Apr 2007,4.18,2.83
Mar 2007,3.95,2.67
Feb 2007,3.7,2.49
Jan 2007,3.71,2.48
Dec 2006,3.9,2.61
Nov 2006,3.83,2.54
Oct 2006,3.79,2.52
Sep 2006,4.17,2.78
Aug 2006,4.54,3.05
Jul 2006,4.39,2.93
Jun 2006,4.36,2.9
May 2006,4.37,2.9
Apr 2006,4.13,2.73
Mar 2006,3.89,2.56
Feb 2006,3.77,2.48
