Regular Gasoline Retail Prices
https://www.eia.gov/outlooks/steo/realprices/
13:25:36 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Real Values,Nominal Values
Dec 2024,3.05,3.15
Nov 2024,3.13,3.22
Oct 2024,3.18,3.27
Sep 2024,3.26,3.35
Aug 2024,3.32,3.4
Jul 2024,3.32,3.39
Jun 2024,3.34,3.41
May 2024,3.34,3.41
Apr 2024,3.33,3.39
Mar 2024,3.26,3.31
Feb 2024,3.11,3.15
Jan 2024,3.09,3.13
Dec 2023,3.09,3.12
Nov 2023,3.13,3.16
Oct 2023,3.12,3.14
Sep 2023,3.27,3.28
Aug 2023,3.4,3.41
Jul 2023,3.54,3.54
Jun 2023,3.64,3.64
May 2023,3.56,3.55
Apr 2023,3.61,3.6
Mar 2023,3.44,3.42
Feb 2023,3.41,3.39
Jan 2023,3.37,3.34
Dec 2022,3.26,3.21
Nov 2022,3.75,3.69
Oct 2022,3.89,3.82
Sep 2022,3.79,3.7
Aug 2022,4.09,3.98
Jul 2022,4.7,4.56
Jun 2022,5.08,4.93
May 2022,4.63,4.44
Apr 2022,4.32,4.11
Mar 2022,4.46,4.22
Feb 2022,3.75,3.52
Jan 2022,3.56,3.31
Dec 2021,3.58,3.31
Nov 2021,3.7,3.39
Oct 2021,3.61,3.29
Sep 2021,3.52,3.18
Aug 2021,3.51,3.16
Jul 2021,3.5,3.14
Jun 2021,3.44,3.06
May 2021,3.38,2.99
Apr 2021,3.26,2.86
Mar 2021,3.22,2.81
Feb 2021,2.88,2.5
Jan 2021,2.7,2.33
Dec 2020,2.54,2.2
Nov 2020,2.45,2.11
Oct 2020,2.52,2.16
Sep 2020,2.55,2.18
Aug 2020,2.56,2.18
Jul 2020,2.57,2.18
Jun 2020,2.46,2.08
May 2020,2.22,1.87
Apr 2020,2.18,1.84
Mar 2020,2.63,2.23
Feb 2020,2.86,2.44
Jan 2020,2.99,2.55
Dec 2019,3,2.56
Nov 2019,3.06,2.6
Oct 2019,3.1,2.63
Sep 2019,3.07,2.59
Aug 2019,3.11,2.62
Jul 2019,3.25,2.74
Jun 2019,3.23,2.72
May 2019,3.4,2.86
Apr 2019,3.33,2.8
Mar 2019,3.01,2.52
Feb 2019,2.77,2.31
Jan 2019,2.7,2.25
Dec 2018,2.84,2.37
Nov 2018,3.18,2.65
Oct 2018,3.44,2.86
Sep 2018,3.41,2.84
Aug 2018,3.42,2.84
Jul 2018,3.44,2.85
Jun 2018,3.5,2.89
May 2018,3.51,2.9
Apr 2018,3.35,2.76
Mar 2018,3.15,2.59
Feb 2018,3.15,2.59
Jan 2018,3.12,2.55
Dec 2017,3.04,2.48
Nov 2017,3.15,2.56
Oct 2017,3.08,2.51
Sep 2017,3.26,2.65
Aug 2017,2.95,2.38
Jul 2017,2.86,2.3
Jun 2017,2.92,2.35
May 2017,2.98,2.39
Apr 2017,3.01,2.42
Mar 2017,2.9,2.33
Feb 2017,2.87,2.3
Jan 2017,2.93,2.35
Dec 2016,2.82,2.25
Nov 2016,2.74,2.18
Oct 2016,2.83,2.25
Sep 2016,2.79,2.22
Aug 2016,2.75,2.18
Jul 2016,2.83,2.24
Jun 2016,2.99,2.37
May 2016,2.88,2.27
Apr 2016,2.68,2.11
Mar 2016,2.51,1.97
Feb 2016,2.26,1.76
Jan 2016,2.49,1.95
Dec 2015,2.6,2.04
Nov 2015,2.75,2.16
Oct 2015,2.93,2.29
Sep 2015,3.02,2.37
Aug 2015,3.36,2.64
Jul 2015,3.56,2.79
Jun 2015,3.58,2.8
May 2015,3.48,2.72
Apr 2015,3.17,2.47
Mar 2015,3.17,2.46
Feb 2015,2.86,2.22
Jan 2015,2.74,2.12
Dec 2014,3.27,2.54
Nov 2014,3.73,2.91
Oct 2014,4.06,3.17
Sep 2014,4.36,3.41
Aug 2014,4.46,3.49
Jul 2014,4.62,3.61
Jun 2014,4.73,3.69
May 2014,4.71,3.67
Apr 2014,4.7,3.66
Mar 2014,4.55,3.53
Feb 2014,4.33,3.36
Jan 2014,4.28,3.31
Dec 2013,4.24,3.28
Nov 2013,4.21,3.24
Oct 2013,4.35,3.34
Sep 2013,4.59,3.53
Aug 2013,4.65,3.57
Jul 2013,4.68,3.59
Jun 2013,4.74,3.63
May 2013,4.73,3.61
Apr 2013,4.68,3.57
Mar 2013,4.85,3.71
Feb 2013,4.78,3.67
Jan 2013,4.35,3.32
Dec 2012,4.35,3.31
Nov 2012,4.53,3.45
Oct 2012,4.91,3.75
Sep 2012,5.06,3.85
