"date","Real.Values.gas","Real.Values.diesel"
2023-04-01,3.61,4.11
2023-03-01,3.44,4.24
2023-02-01,3.41,4.44
2023-01-01,3.37,4.62
2022-12-01,3.26,4.79
2022-11-01,3.75,5.34
2022-10-01,3.89,5.31
2022-09-01,3.79,5.11
2022-08-01,4.09,5.16
2022-07-01,4.7,5.65
2022-06-01,5.08,5.93
2022-05-01,4.63,5.81
2022-04-01,4.32,5.39
2022-03-01,4.46,5.39
2022-02-01,3.75,4.3
2022-01-01,3.56,4
2021-12-01,3.58,3.94
2021-11-01,3.7,4.06
2021-10-01,3.61,3.97
2021-09-01,3.52,3.75
2021-08-01,3.51,3.73
2021-07-01,3.5,3.73
2021-06-01,3.44,3.69
2021-05-01,3.38,3.64
2021-04-01,3.26,3.56
2021-03-01,3.22,3.61
2021-02-01,2.88,3.28
2021-01-01,2.7,3.1
2020-12-01,2.54,3
2020-11-01,2.45,2.83
2020-10-01,2.52,2.79
2020-09-01,2.55,2.82
2020-08-01,2.56,2.84
2020-07-01,2.57,2.86
2020-06-01,2.46,2.85
2020-05-01,2.22,2.84
2020-04-01,2.18,2.96
2020-03-01,2.63,3.21
2020-02-01,2.86,3.41
2020-01-01,2.99,3.57
2019-12-01,3,3.59
2019-11-01,3.06,3.62
2019-10-01,3.1,3.6
2019-09-01,3.07,3.57
2019-08-01,3.11,3.56
2019-07-01,3.25,3.62
2019-06-01,3.23,3.68
2019-05-01,3.4,3.76
2019-04-01,3.33,3.71
2019-03-01,3.01,3.68
2019-02-01,2.77,3.59
2019-01-01,2.7,3.58
2018-12-01,2.84,3.75
2018-11-01,3.18,3.97
2018-10-01,3.44,4.04
2018-09-01,3.41,3.93
2018-08-01,3.42,3.88
2018-07-01,3.44,3.91
2018-06-01,3.5,3.94
2018-05-01,3.51,3.93
2018-04-01,3.35,3.76
2018-03-01,3.15,3.64
2018-02-01,3.15,3.71
2018-01-01,3.12,3.68
2017-12-01,3.04,3.57
2017-11-01,3.15,3.57
2017-10-01,3.08,3.44
2017-09-01,3.26,3.43
2017-08-01,2.95,3.21
2017-07-01,2.86,3.1
