UZA_NAME,DATE,UNLINKED_PASSENGER_TRIPS
"Aberdeen-Bel Air South-Bel Air North, MD",1/1/2002,15406
"Aberdeen-Bel Air South-Bel Air North, MD",2/1/2002,15604
"Aberdeen-Bel Air South-Bel Air North, MD",3/1/2002,16421
"Aberdeen-Bel Air South-Bel Air North, MD",4/1/2002,16711
"Aberdeen-Bel Air South-Bel Air North, MD",5/1/2002,17045
"Aberdeen-Bel Air South-Bel Air North, MD",6/1/2002,14309
"Aberdeen-Bel Air South-Bel Air North, MD",7/1/2002,18398
"Aberdeen-Bel Air South-Bel Air North, MD",8/1/2002,18087
"Aberdeen-Bel Air South-Bel Air North, MD",9/1/2002,19232
"Aberdeen-Bel Air South-Bel Air North, MD",10/1/2002,21430
"Aberdeen-Bel Air South-Bel Air North, MD",11/1/2002,17241
"Aberdeen-Bel Air South-Bel Air North, MD",12/1/2002,16558
"Aberdeen-Bel Air South-Bel Air North, MD",1/1/2003,17692
"Aberdeen-Bel Air South-Bel Air North, MD",2/1/2003,14921
"Aberdeen-Bel Air South-Bel Air North, MD",3/1/2003,19131
"Aberdeen-Bel Air South-Bel Air North, MD",4/1/2003,21392
"Aberdeen-Bel Air South-Bel Air North, MD",5/1/2003,19626
"Aberdeen-Bel Air South-Bel Air North, MD",6/1/2003,19560
"Aberdeen-Bel Air South-Bel Air North, MD",7/1/2003,20805
"Aberdeen-Bel Air South-Bel Air North, MD",8/1/2003,19693
"Aberdeen-Bel Air South-Bel Air North, MD",9/1/2003,19156
"Aberdeen-Bel Air South-Bel Air North, MD",10/1/2003,23051
"Aberdeen-Bel Air South-Bel Air North, MD",11/1/2003,17001
"Aberdeen-Bel Air South-Bel Air North, MD",12/1/2003,18173
"Aberdeen-Bel Air South-Bel Air North, MD",1/1/2004,15979
"Aberdeen-Bel Air South-Bel Air North, MD",2/1/2004,18528
"Aberdeen-Bel Air South-Bel Air North, MD",3/1/2004,22618
"Aberdeen-Bel Air South-Bel Air North, MD",4/1/2004,22032
"Aberdeen-Bel Air South-Bel Air North, MD",5/1/2004,19833
"Aberdeen-Bel Air South-Bel Air North, MD",6/1/2004,22196
"Aberdeen-Bel Air South-Bel Air North, MD",7/1/2004,21279
"Aberdeen-Bel Air South-Bel Air North, MD",8/1/2004,21552
"Aberdeen-Bel Air South-Bel Air North, MD",9/1/2004,21652
"Aberdeen-Bel Air South-Bel Air North, MD",10/1/2004,23220
"Aberdeen-Bel Air South-Bel Air North, MD",11/1/2004,20810
"Aberdeen-Bel Air South-Bel Air North, MD",12/1/2004,20469
"Aberdeen-Bel Air South-Bel Air North, MD",1/1/2005,19568
"Aberdeen-Bel Air South-Bel Air North, MD",2/1/2005,18200
"Aberdeen-Bel Air South-Bel Air North, MD",3/1/2005,22871
"Aberdeen-Bel Air South-Bel Air North, MD",4/1/2005,23299
"Aberdeen-Bel Air South-Bel Air North, MD",5/1/2005,22546
"Aberdeen-Bel Air South-Bel Air North, MD",6/1/2005,23569
"Aberdeen-Bel Air South-Bel Air North, MD",7/1/2005,22353
"Aberdeen-Bel Air South-Bel Air North, MD",8/1/2005,26076
"Aberdeen-Bel Air South-Bel Air North, MD",9/1/2005,25489
"Aberdeen-Bel Air South-Bel Air North, MD",10/1/2005,22481
"Aberdeen-Bel Air South-Bel Air North, MD",11/1/2005,20106
"Aberdeen-Bel Air South-Bel Air North, MD",12/1/2005,19916
"Aberdeen-Bel Air South-Bel Air North, MD",1/1/2006,23582
"Aberdeen-Bel Air South-Bel Air North, MD",2/1/2006,22469
"Aberdeen-Bel Air South-Bel Air North, MD",3/1/2006,27380
"Aberdeen-Bel Air South-Bel Air North, MD",4/1/2006,23856
"Aberdeen-Bel Air South-Bel Air North, MD",5/1/2006,28605
"Aberdeen-Bel Air South-Bel Air North, MD",6/1/2006,26302
"Aberdeen-Bel Air South-Bel Air North, MD",7/1/2006,21132
"Aberdeen-Bel Air South-Bel Air North, MD",8/1/2006,24752
"Aberdeen-Bel Air South-Bel Air North, MD",9/1/2006,24153
"Aberdeen-Bel Air South-Bel Air North, MD",10/1/2006,27111
"Aberdeen-Bel Air South-Bel Air North, MD",11/1/2006,23917
"Aberdeen-Bel Air South-Bel Air North, MD",12/1/2006,23532
"Aberdeen-Bel Air South-Bel Air North, MD",1/1/2007,24219
"Aberdeen-Bel Air South-Bel Air North, MD",2/1/2007,19590
"Aberdeen-Bel Air South-Bel Air North, MD",3/1/2007,23999
"Aberdeen-Bel Air South-Bel Air North, MD",4/1/2007,24867
"Aberdeen-Bel Air South-Bel Air North, MD",5/1/2007,25750
"Aberdeen-Bel Air South-Bel Air North, MD",6/1/2007,25308
"Aberdeen-Bel Air South-Bel Air North, MD",7/1/2007,26106
"Aberdeen-Bel Air South-Bel Air North, MD",8/1/2007,27756
"Aberdeen-Bel Air South-Bel Air North, MD",9/1/2007,24560
"Aberdeen-Bel Air South-Bel Air North, MD",10/1/2007,28971
"Aberdeen-Bel Air South-Bel Air North, MD",11/1/2007,24475
"Aberdeen-Bel Air South-Bel Air North, MD",12/1/2007,21946
"Aberdeen-Bel Air South-Bel Air North, MD",1/1/2008,25041
"Aberdeen-Bel Air South-Bel Air North, MD",2/1/2008,24987
"Aberdeen-Bel Air South-Bel Air North, MD",3/1/2008,26345
"Aberdeen-Bel Air South-Bel Air North, MD",4/1/2008,27592
