UZA_NAME,DATE,UNLINKED_PASSENGER_TRIPS,Reg.Gas
"Akron, OH",1/1/2002,558241,1.89
"Akron, OH",2/1/2002,500037,1.9
"Akron, OH",3/1/2002,533786,2.13
"Akron, OH",4/1/2002,531486,2.37
"Akron, OH",5/1/2002,482851,2.35
"Akron, OH",6/1/2002,572509,2.34
"Akron, OH",7/1/2002,465121,2.36
"Akron, OH",8/1/2002,479179,2.35
"Akron, OH",9/1/2002,561662,2.35
"Akron, OH",10/1/2002,648567,2.42
"Akron, OH",11/1/2002,568322,2.37
"Akron, OH",12/1/2002,384265,2.32
"Akron, OH",1/1/2003,559443,2.42
"Akron, OH",2/1/2003,485082,2.67
"Akron, OH",3/1/2003,575919,2.8
"Akron, OH",4/1/2003,562648,2.63
"Akron, OH",5/1/2003,551005,2.49
"Akron, OH",6/1/2003,464243,2.48
"Akron, OH",7/1/2003,450714,2.5
"Akron, OH",8/1/2003,477732,2.67
"Akron, OH",9/1/2003,589963,2.75
"Akron, OH",10/1/2003,671685,2.57
"Akron, OH",11/1/2003,536623,2.48
"Akron, OH",12/1/2003,516099,2.42
"Akron, OH",1/1/2004,522821,2.56
"Akron, OH",2/1/2004,505986,2.68
"Akron, OH",3/1/2004,631622,2.82
"Akron, OH",4/1/2004,544596,2.91
"Akron, OH",5/1/2004,535589,3.2
"Akron, OH",6/1/2004,496914,3.17
"Akron, OH",7/1/2004,480187,3.07
"Akron, OH",8/1/2004,528851,3.01
"Akron, OH",9/1/2004,719913,2.99
"Akron, OH",10/1/2004,727695,3.18
"Akron, OH",11/1/2004,683193,3.14
"Akron, OH",12/1/2004,557822,2.92
"Akron, OH",1/1/2005,607203,2.9
"Akron, OH",2/1/2005,614642,3.01
"Akron, OH",3/1/2005,595611,3.27
"Akron, OH",4/1/2005,666954,3.52
"Akron, OH",5/1/2005,545486,3.39
"Akron, OH",6/1/2005,453609,3.38
"Akron, OH",7/1/2005,419046,3.57
"Akron, OH",8/1/2005,485329,3.85
"Akron, OH",9/1/2005,709614,4.44
"Akron, OH",10/1/2005,727405,4.14
"Akron, OH",11/1/2005,669993,3.46
"Akron, OH",12/1/2005,545539,3.35
"Akron, OH",1/1/2006,694859,3.53
"Akron, OH",2/1/2006,614485,3.47
"Akron, OH",3/1/2006,711361,3.69
"Akron, OH",4/1/2006,592064,4.15
"Akron, OH",5/1/2006,575911,4.39
"Akron, OH",6/1/2006,472527,4.34
"Akron, OH",7/1/2006,412706,4.46
"Akron, OH",8/1/2006,507187,4.4
"Akron, OH",9/1/2006,642534,3.83
"Akron, OH",10/1/2006,686238,3.38
"Akron, OH",11/1/2006,616451,3.35
"Akron, OH",12/1/2006,540664,3.46
"Akron, OH",1/1/2007,567758,3.34
"Akron, OH",2/1/2007,536979,3.39
"Akron, OH",3/1/2007,627793,3.79
"Akron, OH",4/1/2007,602183,4.2
"Akron, OH",5/1/2007,568840,4.62
"Akron, OH",6/1/2007,454060,4.48
"Akron, OH",7/1/2007,431700,4.34
"Akron, OH",8/1/2007,534428,4.07
"Akron, OH",9/1/2007,643818,4.08
"Akron, OH",10/1/2007,732629,4.07
"Akron, OH",11/1/2007,632063,4.44
"Akron, OH",12/1/2007,521384,4.34
"Akron, OH",1/1/2008,572764,4.36
"Akron, OH",2/1/2008,621159,4.32
"Akron, OH",3/1/2008,645864,4.62
"Akron, OH",4/1/2008,648039,4.91
"Akron, OH",5/1/2008,612550,5.31
"Akron, OH",6/1/2008,534558,5.66
"Akron, OH",7/1/2008,505976,5.63
"Akron, OH",8/1/2008,521751,5.25
"Akron, OH",9/1/2008,650117,5.14
"Akron, OH",10/1/2008,752929,4.27
"Akron, OH",11/1/2008,582344,3.06
"Akron, OH",12/1/2008,512302,2.42
"Akron, OH",1/1/2009,506412,2.56
"Akron, OH",2/1/2009,581374,2.75
"Akron, OH",3/1/2009,589777,2.8
"Akron, OH",4/1/2009,587872,2.93
"Akron, OH",5/1/2009,509422,3.23
"Akron, OH",6/1/2009,446949,3.72
"Akron, OH",7/1/2009,438282,3.57
"Akron, OH",8/1/2009,450338,3.69
"Akron, OH",9/1/2009,641609,3.59
"Akron, OH",10/1/2009,666121,3.58
"Akron, OH",11/1/2009,577735,3.71
"Akron, OH",12/1/2009,523738,3.64
"Akron, OH",1/1/2010,510264,3.79
"Akron, OH",2/1/2010,586605,3.7
