date,"New York-Newark, NY-NJ-CT","Chicago, IL-IN","Los Angeles-Long Beach-Anaheim, CA","San Francisco-Oakland, CA","Washington--Arlington, DC--VA--MD","Boston, MA-NH-RI","Philadelphia, PA-NJ-DE-MD","Seattle, WA","Miami, FL","Atlanta, GA","Baltimore, MD","Portland, OR-WA","San Diego, CA","Denver-Aurora, CO","Houston, TX","Minneapolis-St. Paul, MN-WI","Los Angeles--Long Beach--Anaheim, CA","Dallas-Fort Worth-Arlington, TX","Urban Honolulu, HI","Pittsburgh, PA","Phoenix-Mesa, AZ","Las Vegas-Henderson, NV","Cleveland, OH","St. Louis, MO-IL","San Juan, PR","Milwaukee, WI","Detroit, MI","San Antonio, TX","San Jose, CA","Salt Lake City-West Valley City, UT","Austin, TX","Sacramento, CA","Washington, DC-VA-MD","Tampa-St. Petersburg, FL","Orlando, FL","Buffalo, NY","New Orleans, LA","Charlotte, NC-SC","Cincinnati, OH-KY-IN","Riverside-San Bernardino, CA","New York--Jersey City--Newark, NY--NJ","Tucson, AZ","Providence, RI-MA","Columbus, OH","Hartford, CT","Kansas City, MO-KS","Rochester, NY","Albany-Schenectady, NY","Virginia Beach, VA","Louisville/Jefferson County, KY-IN","Durham, NC","Madison, WI","El Paso, TX-NM","Ann Arbor, MI","Fresno, CA","Jacksonville, FL","Dayton, OH","Albuquerque, NM","Champaign, IL","Bridgeport-Stamford, CT-NY","Springfield, MA-CT","Spokane, WA","Eugene, OR","Lansing, MI","Richmond, VA","Memphis, TN-MS-AR","Grand Rapids, MI","Indianapolis, IN","Nashville-Davidson, TN","Syracuse, NY","New Haven, CT","Gainesville, FL","San Francisco--Oakland, CA","Reno, NV-CA","Raleigh, NC","Santa Barbara, CA","Akron, OH","State College, PA","Athens-Clarke County, GA","Iowa City, IA","Bakersfield, CA","Concord, CA","Corpus Christi, TX","Santa Cruz, CA","Ames, IA","Allentown, PA-NJ","Flint, MI","Stockton, CA","Bellingham, WA","Lexington-Fayette, KY","Lafayette, IN","Olympia-Lacey, WA","Des Moines, IA","Seaside-Monterey, CA","Greensboro, NC","Bremerton, WA","Anchorage, AK","Kennewick-Pasco, WA","Sarasota-Bradenton, FL","Tallahassee, FL"
2002-01-01,3718590835.0,595502520.0,531432949.0,423111213.0,395302375.0,349004563.0,315274304.0,149647920.0,128644376.0,153351404.0,112579714.0,95904541.0,87125923.0,80923473.0,95292940.0,75121093.0,86899308.0,78358375.0,72600504.0,76049641.0,48016244.0,46490972.0,53571975.0,48630363.0,62188973.0,58614775.0,50213704.0,38210955.0,51421843.0,30944603.0,54521901.0,29066487.0,12135438.0,17950830.0,21985657.0,24336034.0,53556382.0,15021342.0,30058572.0,24298775.0,18039516.0,14787956.0,13631119.0,16419464.0,14434292.0,13038776.0,12692958.0,11727393.0,9493913.0,15004327.0,8372356.0,11019527.0,11013563.0,8759746.0,9232979.0,8694255.0,13518098.0,7340397.0,9272511.0,8767477.0,11239341.0,8030597.0,8479644.0,7934548.0,9911858.0,12176900.0,5739685.0,8673720.0,6706821.0,755906.0,8757824.0,11466.0,10529505.0,0.0,3156839.0,5231370.0,6286026.0,6198199.0,0.0,4928357.0,1764499.0,6748777.0,5671068.0,6307692.0,0.0,4796045.0,5113653.0,5387500.0,3176279.0,3711451.0,9339.0,2774451.0,4315437.0,4909866.0,2106682.0,4610537.0,3417481.0,3669252.0,2457904.0,3093195.0
2003-01-01,3638892463.0,579609898.0,481567932.0,426310249.0,420918767.0,352456358.0,317171897.0,150411582.0,136883971.0,145629108.0,118380068.0,96974693.0,87309594.0,78625798.0,90937669.0,73995638.0,89201104.0,74611549.0,60053799.0,70299501.0,45282426.0,49437605.0,54332055.0,47754078.0,59680306.0,58271701.0,49670175.0,37605142.0,42581269.0,32582213.0,35609590.0,30239025.0,14766603.0,19401314.0,22668289.0,23182571.0,49975418.0,15806757.0,29691362.0,24451648.0,18773784.0,15503213.0,17920405.0,15770592.0,13933834.0,13946848.0,14186215.0,11653362.0,8616110.0,14968784.0,8999794.0,11163412.0,11299643.0,8827313.0,11123572.0,9219333.0,13145621.0,6800461.0,10092287.0,7566727.0,10286258.0,8037527.0,8221485.0,7869352.0,8673519.0,12051095.0,5756150.0,8839015.0,6939505.0,780202.0,8339565.0,0.0,10288680.0,0.0,3396172.0,7108440.0,6441156.0,6144916.0,1184393.0,5112103.0,0.0,5584347.0,5117033.0,6158199.0,4864353.0,4757752.0,3222596.0,5324282.0,3267524.0,3333310.0,3909747.0,2961160.0,4129103.0,4749393.0,2260776.0,4990975.0,3619051.0,3790146.0,2353716.0,4487759.0
2004-01-01,3781734785.0,582228928.0,547303204.0,413674415.0,418816376.0,395504105.0,349844197.0,153635119.0,156963710.0,150144442.0,113255187.0,102865340.0,91037550.0,84300236.0,95992059.0,63674995.0,100580469.0,67572287.0,63484436.0,70082517.0,55667654.0,52598750.0,57030310.0,48098284.0,62024554.0,56365238.0,49916395.0,38025362.0,39122283.0,34629811.0,35208841.0,32466972.0,17585684.0,20523003.0,23873273.0,23328839.0,48609264.0,16779888.0,29016058.0,23769908.0,20841601.0,15882486.0,18866611.0,15019288.0,13819459.0,13741264.0,14325454.0,11503092.0,12287822.0,14939463.0,10569663.0,11199970.0,11426593.0,9643780.0,11039143.0,9767889.0,13217583.0,6775606.0,10006233.0,9449452.0,9468567.0,8308626.0,8522047.0,9009167.0,8850302.0,12855408.0,5827088.0,8405598.0,6685929.0,775722.0,8078136.0,8000076.0,9575259.0,7941738.0,3628476.0,7022926.0,6935189.0,6107271.0,355786.0,3293408.0,7002105.0,6506948.0,5570044.0,5811837.0,4540993.0,5038668.0,4253635.0,5334189.0,3579121.0,2930757.0,4255571.0,3172545.0,4084898.0,4730877.0,1974996.0,5100406.0,3815009.0,4113536.0,2396075.0,4514782.0
2005-01-01,3875588936.0,605484471.0,572708514.0,413172176.0,423071988.0,385031299.0,347066580.0,159360629.0,158574504.0,154657956.0,114090990.0,102953632.0,92602355.0,86371859.0,97380271.0,80125972.0,97574335.0,70727128.0,65350000.0,72070442.0,59261171.0,56548697.0,65045615.0,50514891.0,68066669.0,57372062.0,47683826.0,40657272.0,39133891.0,36160914.0,34210764.0,32955432.0,20869981.0,23668883.0,24469835.0,23621545.0,29888268.0,18329658.0,27237125.0,22805244.0,19678806.0,16626255.0,20776579.0,15021229.0,14709775.0,14472710.0,14224946.0,12540770.0,8933188.0,14899334.0,11513285.0,11738920.0,13121693.0,10599200.0,11281820.0,10653814.0,13285572.0,7933308.0,9853845.0,9899007.0,9320051.0,8283766.0,8756765.0,9481581.0,9976592.0,11555151.0,6790691.0,8395522.0,7498402.0,9945217.0,8307305.0,8156064.0,9443939.0,8651566.0,3864917.0,7299901.0,7040431.0,6057079.0,0.0,4193916.0,6821046.0,6348088.0,5876792.0,4820084.0,4187698.0,5410895.0,4979257.0,3981956.0,3616647.0,3052694.0,4251685.0,3340987.0,4272069.0,4850857.0,3200759.0,5252414.0,4246192.0,4353184.0,3138633.0,4665607.0
2006-01-01,3928997127.0,610630129.0,604273612.0,418727351.0,438672844.0,387019688.0,345390429.0,168274998.0,167126489.0,157411921.0,104992055.0,102909371.0,95955604.0,87150544.0,102681747.0,85015722.0,100218046.0,76426513.0,68580610.0,73609119.0,60484183.0,69385844.0,70230537.0,54444961.0,54377963.0,56908212.0,50937736.0,43778237.0,42558461.0,37778327.0,34775654.0,34743841.0,22848540.0,24901900.0,25216948.0,23653528.0,3822241.0,19072555.0,26328095.0,22752225.0,19248298.0,17848682.0,23172217.0,14956349.0,16789175.0,15211035.0,14140414.0,12894692.0,12756314.0,15854447.0,11697827.0,12301419.0,12467945.0,11311052.0,12108951.0,11046036.0,13688098.0,9260967.0,9734088.0,10303595.0,9608132.0,9072902.0,9594689.0,10275823.0,10897751.0,11647537.0,7727173.0,8678608.0,8096100.0,10672774.0,8739506.0,8705537.0,9998376.0,9086016.0,6017546.0,7577351.0,7066987.0,6165815.0,1458674.0,5846946.0,6292927.0,6406260.0,5538711.0,5660682.0,4255309.0,5776929.0,5229291.0,4638156.0,3744764.0,4802730.0,4346081.0,3828433.0,4360038.0,5001484.0,3600294.0,5049961.0,4230424.0,4700086.0,3592170.0,4300734.0
2007-01-01,4027553089.0,618968575.0,599300488.0,419739877.0,447073508.0,373581565.0,339436703.0,180060946.0,168750531.0,157795440.0,112567280.0,104507370.0,100595071.0,96203953.0,101711843.0,88653911.0,98125669.0,84471301.0,69372489.0,72250684.0,60578551.0,73119550.0,61839847.0,59104647.0,55867824.0,53298567.0,50500365.0,42860095.0,44187034.0,35185283.0,35579398.0,35812014.0,23588787.0,25687445.0,26790330.0,25674568.0,12175002.0,20707295.0,26798872.0,22543701.0,20190952.0,18820665.0,23553663.0,15047061.0,16050860.0,15875095.0,15050016.0,13366880.0,13935343.0,15697053.0,11971109.0,12951020.0,12742909.0,11523324.0,12736768.0,10541775.0,12682480.0,9985277.0,8938658.0,10399232.0,9800529.0,9729391.0,10461968.0,10779977.0,11411025.0,11726465.0,8386265.0,8690032.0,9043190.0,10912726.0,8685119.0,8890755.0,9809435.0,9095424.0,6141516.0,7896862.0,6853635.0,6274893.0,1566464.0,5994950.0,6658769.0,6696068.0,5177807.0,5758652.0,4482514.0,5429607.0,5406471.0,4976279.0,4117038.0,5521227.0,4664409.0,4306060.0,4445058.0,4831526.0,4199478.0,5028471.0,4443761.0,4838980.0,3830818.0,3934121.0
2008-01-01,4126249485.0,650266512.0,609800594.0,434271524.0,462272640.0,392785483.0,350173272.0,193196584.0,171410400.0,171022506.0,118080779.0,110705877.0,104188051.0,103452042.0,96583331.0,93278956.0,103429275.0,80560130.0,71897128.0,70200641.0,66840260.0,71751083.0,62614334.0,61268731.0,59251942.0,53691724.0,54825503.0,47052709.0,46651435.0,39523205.0,38152155.0,40134282.0,26107702.0,28139872.0,26898347.0,28370794.0,15519852.0,26284716.0,25654372.0,23914217.0,21392653.0,21532756.0,21582027.0,16629953.0,17407215.0,17820693.0,16270562.0,15260502.0,22031163.0,15912157.0,13620727.0,13719008.0,13085521.0,12143494.0,14260821.0,11345892.0,13024458.0,11137218.0,9766845.0,11291269.0,10161512.0,11856451.0,12109254.0,11518578.0,11307344.0,11729596.0,9355366.0,9934077.0,9720082.0,13045619.0,9248753.0,9094667.0,10140021.0,9319933.0,7155109.0,8561726.0,7160353.0,6858976.0,1761271.0,6457145.0,7504545.0,7123089.0,5478372.0,5972246.0,4748664.0,4518097.0,6223957.0,5898051.0,5217078.0,5686999.0,5028088.0,5131077.0,5120246.0,4812004.0,4263588.0,5319775.0,4735518.0,5615350.0,4183979.0,4351201.0
2009-01-01,3990192330.0,632972376.0,581914297.0,438117376.0,458408461.0,379220305.0,339732408.0,188380030.0,156144051.0,162150708.0,121996092.0,106867183.0,96623706.0,98733227.0,85673389.0,89160009.0,90900145.0,75321093.0,71601043.0,69254578.0,73265784.0,59108017.0,47816064.0,49995569.0,61221976.0,49176182.0,53419156.0,43121820.0,44359538.0,37965873.0,34214084.0,39089662.0,27042232.0,25802819.0,24213617.0,26217267.0,15589852.0,24245103.0,22899246.0,23572582.0,21790078.0,21354709.0,18042523.0,16871765.0,16310720.0,16156980.0,17024627.0,14113060.0,15897030.0,14201836.0,13379351.0,13866896.0,13043118.0,12262020.0,13976342.0,10936822.0,11203405.0,12190750.0,9951597.0,10944514.0,9924492.0,11883888.0,11451004.0,11530057.0,9974840.0,11596285.0,9370457.0,8457895.0,8721846.0,12902376.0,8960777.0,9043087.0,9178665.0,7873810.0,7900347.0,8204469.0,6519629.0,7071214.0,11179415.0,6483440.0,7481889.0,5591494.0,5326960.0,5939805.0,5284166.0,5872821.0,5748265.0,5194587.0,5809491.0,5773021.0,4741647.0,5123066.0,4725397.0,4232262.0,4945547.0,4580096.0,4679731.0,5528548.0,4223849.0,4290114.0
2010-01-01,4062398504.0,627936054.0,577996598.0,406183903.0,443552849.0,371663078.0,352731451.0,188602621.0,153755760.0,153685832.0,122984880.0,111522109.0,95538424.0,97491055.0,81206219.0,91289528.0,83153075.0,72296174.0,72277873.0,66783299.0,69032633.0,56272247.0,45343309.0,43918066.0,63690019.0,46807226.0,50447521.0,43218468.0,42077520.0,39040703.0,33860685.0,33434987.0,28656376.0,27728931.0,26281263.0,27413113.0,17914181.0,25407810.0,20219321.0,22883306.0,21569276.0,20190229.0,18266659.0,17273168.0,16763076.0,15831527.0,17010422.0,13808696.0,16021888.0,13999500.0,13962242.0,13878742.0,15074133.0,12250272.0,13132837.0,11802138.0,10115990.0,12931265.0,10415480.0,11332166.0,10248362.0,11445060.0,11411927.0,11346910.0,10686421.0,11228824.0,9770081.0,8757751.0,8537485.0,11686397.0,9020809.0,9481298.0,9126556.0,7799399.0,8437751.0,7714293.0,6576049.0,7072844.0,11151141.0,6535993.0,7039313.0,5168251.0,5434362.0,5759251.0,5368765.0,5501984.0,5886093.0,4722830.0,5116869.0,6520562.0,4946242.0,5104344.0,4261909.0,4432652.0,5301727.0,3890292.0,4685789.0,5058664.0,3418932.0,4933682.0
2011-01-01,4092019649.0,646581286.0,583824961.0,417747729.0,452630477.0,398410434.0,357943887.0,192558020.0,163265369.0,146444631.0,119226847.0,113356460.0,101886010.0,98109044.0,81928229.0,94536995.0,81287005.0,76573289.0,72235802.0,65354370.0,71771937.0,59080277.0,46963477.0,47460787.0,58979376.0,47336788.0,49589624.0,46146794.0,43170314.0,41558034.0,33999725.0,31359309.0,30980411.0,29367573.0,28487964.0,30533342.0,19929466.0,27753007.0,20678188.0,24481535.0,22434617.0,20563352.0,19123448.0,19023293.0,17333692.0,16791876.0,21226861.0,14452271.0,17445056.0,14664909.0,15039411.0,15065793.0,16458093.0,13192518.0,11635673.0,12935662.0,10620442.0,13871059.0,10840880.0,11566653.0,10754784.0,11546095.0,11719233.0,11982898.0,10118295.0,10027589.0,11031905.0,9510669.0,9829411.0,11419998.0,9290214.0,10223212.0,9408154.0,8178188.0,9364211.0,7906016.0,6851181.0,7200694.0,11623795.0,6938415.0,7070323.0,5238120.0,6011114.0,5687138.0,5607884.0,5999551.0,6282962.0,5055564.0,5351920.0,5441847.0,5327744.0,5338850.0,4410113.0,4481785.0,5716142.0,3934069.0,4723682.0,4950911.0,4762351.0,4781364.0
